run_id,experiment,dataset,model,task,seed,fold_id,window_length,protocol_version,evidence_class,protocol_compliant,status,n_train_windows,n_test_windows,n_train_specimens,n_test_specimens,n_train_sessions,n_test_sessions,duration_s,accuracy,auroc,auroc_defined,auroc_n_classes_scored,balanced_accuracy,empty_class_policy,macro_f1,mae,r2,rmse
synthetic_enose|cnn1d|classification|seed00|fold00,smoke,synthetic_enose,cnn1d,classification,0,0,16,1.1.0,synthetic_fixture,True,ok,630,315,6,3,6,3,0.02784420782700181,0.2698412698412698,0.6543952619843729,True,4.0,0.25,require_all_classes,0.10625,,,
synthetic_enose|cnn1d|classification|seed01|fold00,smoke,synthetic_enose,cnn1d,classification,1,0,16,1.1.0,synthetic_fixture,True,ok,630,315,6,3,6,3,0.027800667099654675,0.4126984126984127,0.5681863060534752,True,4.0,0.206642293789024,require_all_classes,0.18474820571496503,,,
synthetic_enose|cnn1d|regression|seed00|fold00,smoke,synthetic_enose,cnn1d,regression,0,0,16,1.1.0,synthetic_fixture,True,ok,630,315,6,3,6,3,0.024317708797752857,,,,,,,,4.42014293285718,-5.366471012682636,4.929147829856027
synthetic_enose|cnn1d|regression|seed01|fold00,smoke,synthetic_enose,cnn1d,regression,1,0,16,1.1.0,synthetic_fixture,True,ok,630,315,6,3,6,3,0.024720582645386457,,,,,,,,4.923911109648807,-8.329522112408553,5.236011617071243
synthetic_enose|esn|classification|seed00|fold00,smoke,synthetic_enose,esn,classification,0,0,16,1.1.0,synthetic_fixture,True,ok,630,315,6,3,6,3,0.10040991706773639,0.5142857142857142,0.6487297132327807,True,4.0,0.36809815950920244,require_all_classes,0.28896740514387576,,,
synthetic_enose|esn|classification|seed01|fold00,smoke,synthetic_enose,esn,classification,1,0,16,1.1.0,synthetic_fixture,True,ok,630,315,6,3,6,3,0.09987525036558509,0.09206349206349207,0.5768241520224584,True,4.0,0.2375,require_all_classes,0.07170385395537526,,,
synthetic_enose|esn|regression|seed00|fold00,smoke,synthetic_enose,esn,regression,0,0,16,1.1.0,synthetic_fixture,True,ok,630,315,6,3,6,3,0.070978875271976,,,,,,,,6.189616181720618,-11.934928200553262,7.025940561995555
synthetic_enose|esn|regression|seed01|fold00,smoke,synthetic_enose,esn,regression,1,0,16,1.1.0,synthetic_fixture,True,ok,630,315,6,3,6,3,0.07229045918211341,,,,,,,,10.461037093371678,-38.94265447095317,10.834013289186096
synthetic_enose|gru|classification|seed00|fold00,smoke,synthetic_enose,gru,classification,0,0,16,1.1.0,synthetic_fixture,True,ok,630,315,6,3,6,3,0.4862551670521498,0.5174603174603175,0.31661479637050877,True,4.0,0.25,require_all_classes,0.1705020920502092,,,
synthetic_enose|gru|classification|seed01|fold00,smoke,synthetic_enose,gru,classification,1,0,16,1.1.0,synthetic_fixture,True,ok,630,315,6,3,6,3,0.051805584225803614,0.5682539682539682,0.5889996927986239,True,4.0,0.25,require_all_classes,0.1811740890688259,,,
